elapsed_ms,t_elapsed_s,accel_mag_g
3964,3.964,0.0038057
3982,3.982,0.00380491
4000,4,0.00380412
4018,4.018,0.00380333
4036,4.036,0.00380253
4055,4.055,0.0038017
4073,4.073,0.00380091
4091,4.091,0.00380011
4109,4.109,0.00379932
4127,4.127,0.00379853
4145,4.145,0.00379774
4164,4.164,0.0037969
4182,4.182,0.00379611
4200,4.2,0.00379532
4218,4.218,0.00379452
4236,4.236,0.00379373
4255,4.255,0.00379289
4273,4.273,0.0037921
4291,4.291,0.00379131
4309,4.309,0.00379052
4327,4.327,0.00378972
4345,4.345,0.00378893
4364,4.364,0.00378809
4382,4.382,0.0037873
4400,4.4,0.0037865
4418,4.418,0.00378571
4436,4.436,0.00378492
4455,4.455,0.00378408
4473,4.473,0.00378328
4491,4.491,0.00378249
4509,4.509,0.00378169
4527,4.527,0.0037809
4545,4.545,0.00378011
4564,4.564,0.00377927
4582,4.582,0.00377847
4600,4.6,0.00377768
4618,4.618,0.00377688
4636,4.636,0.00377609
4655,4.655,0.00377525
4673,4.673,0.00377445
4691,4.691,0.00377366
4709,4.709,0.00377286
4727,4.727,0.00377207
4745,4.745,0.00377127
4764,4.764,0.00377043
4782,4.782,0.00376963
4800,4.8,0.00376884
4818,4.818,0.00376804
4836,4.836,0.00376724
4855,4.855,0.0037664
4873,4.873,0.00376561
4891,4.891,0.00376481
4909,4.909,0.00376401
4927,4.927,0.00376322
4945,4.945,0.00376242
4964,4.964,0.00376158
4982,4.982,0.00376078
5000,5,0.00375998
5018,5.018,0.00375919
5036,5.036,0.00375839
5055,5.055,0.00375755
5073,5.073,0.00375675
5091,5.091,0.00375595
5109,5.109,0.00375515
5127,5.127,0.00375436
5145,5.145,0.00375356
5164,5.164,0.00375271
5182,5.182,0.00375192
5200,5.2,0.00375112
5218,5.218,0.00375032
5236,5.236,0.00374952
5255,5.255,0.00374868
5273,5.273,0.00374788
5291,5.291,0.00374708
5309,5.309,0.00374628
5327,5.327,0.00374548
5345,5.345,0.00374468
5364,5.364,0.00374384
5382,5.382,0.00374304
5400,5.4,0.00374224
5418,5.418,0.00374144
5436,5.436,0.00374064
5455,5.455,0.0037398
5473,5.473,0.003739
5491,5.491,0.0037382
5509,5.509,0.0037374
5527,5.527,0.0037366
5545,5.545,0.00373579
5564,5.564,0.00373495
5582,5.582,0.00373415
5600,5.6,0.00373335
5618,5.618,0.00373255
5636,5.636,0.00373175
5655,5.655,0.0037309
5673,5.673,0.0037301
5691,5.691,0.0037293
5709,5.709,0.0037285
5727,5.727,0.0037277
5745,5.745,0.00372689
5764,5.764,0.00372605
5782,5.782,0.00372525
5800,5.8,0.00372445
5818,5.818,0.00372364
5836,5.836,0.00372284
5855,5.855,0.00372199
5873,5.873,0.00372119
5891,5.891,0.00372039
5909,5.909,0.00371959
5927,5.927,0.00371879
5945,5.945,0.00371798
5964,5.964,0.00371714
5982,5.982,0.00371633
6000,6,0.00371553
6018,6.018,0.00371473
6036,6.036,0.00371392
6055,6.055,0.00371308
6073,6.073,0.00371227
6091,6.091,0.00371147
6109,6.109,0.00371067
6127,6.127,0.00370986
6145,6.145,0.00370906
6164,6.164,0.00370821
6182,6.182,0.00370741
6200,6.2,0.0037066
6218,6.218,0.0037058
6236,6.236,0.003705
6255,6.255,0.00370415
6273,6.273,0.00370334
6291,6.291,0.00370254
6309,6.309,0.00370173
6327,6.327,0.00370093
6345,6.345,0.00370012
6364,6.364,0.00369928
6382,6.382,0.00369847
6400,6.4,0.00369767
6418,6.418,0.00369686
6436,6.436,0.00369606
6455,6.455,0.00369521
6473,6.473,0.0036944
6491,6.491,0.00369359
6509,6.509,0.00369279
6527,6.527,0.00369198
6545,6.545,0.00369118
6564,6.564,0.00369033
6582,6.582,0.00368952
6600,6.6,0.00368872
6618,6.618,0.00368791
6636,6.636,0.0036871
6655,6.655,0.00368625
6673,6.673,0.00368545
6691,6.691,0.00368464
6709,6.709,0.00368383
6727,6.727,0.00368303
6745,6.745,0.00368222
6764,6.764,0.00368137
6782,6.782,0.00368056
6800,6.8,0.00367976
6818,6.818,0.00367895
6836,6.836,0.00367814
6855,6.855,0.00367729
6873,6.873,0.00367648
6891,6.891,0.00367568
6909,6.909,0.00367487
6927,6.927,0.00367406
6945,6.945,0.00367325
6964,6.964,0.0036724
6982,6.982,0.00367159
7000,7,0.00367078
7018,7.018,0.00366998
7036,7.036,0.00366917
7055,7.055,0.00366832
7073,7.073,0.00366751
7091,7.091,0.0036667
7109,7.109,0.00366589
7127,7.127,0.00366508
7145,7.145,0.00366427
7164,7.164,0.00366342
7182,7.182,0.00366261
7200,7.2,0.0036618
7218,7.218,0.00366099
7236,7.236,0.00366019
7255,7.255,0.00365933
7273,7.273,0.00365852
7291,7.291,0.00365771
7309,7.309,0.0036569
7327,7.327,0.00365609
7345,7.345,0.00365529
7364,7.364,0.00365443
7382,7.382,0.00365362
7400,7.4,0.00365281
7418,7.418,0.003652
7436,7.436,0.00365119
7455,7.455,0.00365034
7473,7.473,0.00364953
7491,7.491,0.00364872
7509,7.509,0.00364791
7527,7.527,0.0036471
7545,7.545,0.00364629
7564,7.564,0.00364543
7582,7.582,0.00364462
7600,7.6,0.00364381
7618,7.618,0.003643
7636,7.636,0.00364219
7655,7.655,0.00364133
7673,7.673,0.00364052
7691,7.691,0.00363971
7709,7.709,0.0036389
7727,7.727,0.00363809
7745,7.745,0.00363728
7764,7.764,0.00363642
7782,7.782,0.00363561
7800,7.8,0.0036348
7818,7.818,0.00363399
7836,7.836,0.00363318
7855,7.855,0.00363232
7873,7.873,0.00363151
7891,7.891,0.0036307
7909,7.909,0.00362988
7927,7.927,0.00362907
7945,7.945,0.00362826
7964,7.964,0.0036274
7982,7.982,0.00362659
8000,8,0.00362578
8018,8.018,0.00362497
8036,8.036,0.00362415
8055,8.055,0.0036233
8073,8.073,0.00362248
8091,8.091,0.00362167
8109,8.109,0.00362086
8127,8.127,0.00362004
8145,8.145,0.00361923
8164,8.164,0.00361837
8182,8.182,0.00361756
8200,8.2,0.00361675
8218,8.218,0.00361593
8236,8.236,0.00361512
8255,8.255,0.00361426
8273,8.273,0.00361345
8291,8.291,0.00361264
8309,8.309,0.00361182
8327,8.327,0.00361101
8345,8.345,0.0036102
8364,8.364,0.00360934
8382,8.382,0.00360852
8400,8.4,0.00360771
8418,8.418,0.00360689
8436,8.436,0.00360608
8455,8.455,0.00360522
8473,8.473,0.00360441
8491,8.491,0.00360359
8509,8.509,0.00360278
8527,8.527,0.00360196
8545,8.545,0.00360115
8564,8.564,0.00360029
8582,8.582,0.00359948
8600,8.6,0.00359866
8618,8.618,0.00359785
8636,8.636,0.00359703
8655,8.655,0.00359617
8673,8.673,0.00359536
8691,8.691,0.00359454
8709,8.709,0.00359373
8727,8.727,0.00359291
8745,8.745,0.0035921
8764,8.764,0.00359124
8782,8.782,0.00359042
8800,8.8,0.0035896
8818,8.818,0.00358879
8836,8.836,0.00358797
8855,8.855,0.00358711
8873,8.873,0.0035863
8891,8.891,0.00358548
8909,8.909,0.00358467
8927,8.927,0.00358385
8945,8.945,0.00358303
8964,8.964,0.00358217
8982,8.982,0.00358136
9000,9,0.00358054
9018,9.018,0.00357972
9036,9.036,0.00357891
9055,9.055,0.00357805
9073,9.073,0.00357723
9091,9.091,0.00357641
9109,9.109,0.0035756
9127,9.127,0.00357478
9145,9.145,0.00357396
9164,9.164,0.0035731
9182,9.182,0.00357228
9200,9.2,0.00357147
9218,9.218,0.00357065
9236,9.236,0.00356983
9255,9.255,0.00356897
9273,9.273,0.00356815
9291,9.291,0.00356734
9309,9.309,0.00356652
9327,9.327,0.0035657
9345,9.345,0.00356489
9364,9.364,0.00356402
9382,9.382,0.00356321
9400,9.4,0.00356239
9418,9.418,0.00356157
9436,9.436,0.00356075
9455,9.455,0.00355989
9473,9.473,0.00355907
9491,9.491,0.00355825
9509,9.509,0.00355744
9527,9.527,0.00355662
9545,9.545,0.0035558
9564,9.564,0.00355494
9582,9.582,0.00355412
9600,9.6,0.0035533
9618,9.618,0.00355248
9636,9.636,0.00355166
9655,9.655,0.0035508
9673,9.673,0.00354998
9691,9.691,0.00354916
9709,9.709,0.00354835
9727,9.727,0.00354753
9745,9.745,0.00354671
9764,9.764,0.00354584
9782,9.782,0.00354502
9800,9.8,0.00354421
9818,9.818,0.00354339
9836,9.836,0.00354257
9855,9.855,0.0035417
9873,9.873,0.00354088
9891,9.891,0.00354007
9909,9.909,0.00353925
9927,9.927,0.00353843
9945,9.945,0.00353761
9964,9.964,0.00353674
9982,9.982,0.00353592
10000,10,0.00353511
10018,10.018,0.00353429
10036,10.036,0.00353347
10055,10.055,0.0035326
10073,10.073,0.00353178
10091,10.091,0.00353096
10109,10.109,0.00353014
10127,10.127,0.00352932
10145,10.145,0.0035285
10164,10.164,0.00352764
10182,10.182,0.00352682
10200,10.2,0.003526
10218,10.218,0.00352518
10236,10.236,0.00352436
10255,10.255,0.00352349
10273,10.273,0.00352267
10291,10.291,0.00352185
10309,10.309,0.00352103
10327,10.327,0.00352021
10345,10.345,0.00351939
10364,10.364,0.00351852
10382,10.382,0.0035177
10400,10.4,0.00351688
10418,10.418,0.00351606
10436,10.436,0.00351524
10455,10.455,0.00351438
10473,10.473,0.00351356
10491,10.491,0.00351273
10509,10.509,0.00351191
10527,10.527,0.00351109
10545,10.545,0.00351027
10564,10.564,0.00350941
10582,10.582,0.00350858
10600,10.6,0.00350776
10618,10.618,0.00350694
10636,10.636,0.00350612
10655,10.655,0.00350525
10673,10.673,0.00350443
10691,10.691,0.00350361
10709,10.709,0.00350279
10727,10.727,0.00350197
10745,10.745,0.00350115
10764,10.764,0.00350028
10782,10.782,0.00349946
10800,10.8,0.00349864
10818,10.818,0.00349782
10836,10.836,0.00349699
10855,10.855,0.00349613
10873,10.873,0.00349531
